master_protein	dosage	replicate	sample_id	Light	Heavy	Ratio
P07900	150	1	150_1	25.2963520072351	23.1394364514759	2.15691555575917
P07910	150	1	150_1	26.3287733377956	25.2190971597363	1.1096761780593
P07996	150	1	150_1	20.4696823486702	19.2521195966311	1.21756275203907
P08183	150	1	150_1	21.4041701455888	19.6392783065014	1.76489183908746
P08195	150	1	150_1	25.7156021141327	21.9489491955491	3.76665291858357
P08238	150	1	150_1	22.9812435169926	20.4972831391438	2.48396037784878
P08572	150	1	150_1	25.7820679830823	24.2206652717442	1.56140271133813
P08621	150	1	150_1	24.5632549356362	20.7405713442633	3.82268359137291
P08648	150	1	150_1	23.4208545919501	19.6273842609398	3.79347033101023
P08708	150	1	150_1	20.9177325607384	17.8769942653887	3.04073829534973
P09429	150	1	150_1	24.9421219923505	18.6212127830436	6.32090920930689
P09619	150	1	150_1	24.3450334210238	21.1911737747009	3.15385964632287
P09651	150	1	150_1	25.9930058011247	23.83594704075	2.1570587603747
P09874	150	1	150_1	23.1859443676751	21.2656908901616	1.9202534775135
P0C0S5	150	1	150_1	29.2342074931117	26.1626937272032	3.0715137659085
P0C7U0	150	1	150_1	24.3759536618449	21.4433856697062	2.93256799213874
P10809	150	1	150_1	24.3146768674289	20.3110427664736	4.00363410095533
P10909	150	1	150_1	27.2518845120553	23.8107601368769	3.44112437517841
P11021	150	1	150_1	23.3283377073366	20.5936794592133	2.73465824812332
P11047	150	1	150_1	23.0813171083409	19.467070255867	3.61424685247396
P11117	150	1	150_1	23.2563791727447	20.8159711223079	2.4404080504368
P11142	150	1	150_1	24.2258028864619	21.6591300476482	2.56667283881372
P11169	150	1	150_1	23.1991043673929	18.4165831390146	4.78252122837834
P11172	150	1	150_1	21.2035917583852	18.039390325237	3.16420143314819
P11177	150	1	150_1	21.2160480571936	19.4584378773122	1.75761017988133
P11387	150	1	150_1	25.2246444533772	21.6637472613372	3.56089719204004
P11388	150	1	150_1	22.437997652681	19.406703927286	3.031293725395
P11413	150	1	150_1	25.3164045288138	21.3139715155447	4.0024330132691
P11940	150	1	150_1	24.342859555119	22.1396298289796	2.20322972613939
P12004	150	1	150_1	25.1355527351802	21.0525839702855	4.08296876489462
P12268	150	1	150_1	25.2475474106718	21.5671860033006	3.68036140737123
P12814	150	1	150_1	21.4104319194466	19.5786837017891	1.83174821765751
P12956	150	1	150_1	22.7110195529731	19.4930414553474	3.21797809762568
P13473	150	1	150_1	22.7585408267095	20.2089751704069	2.54956565630265
P13639	150	1	150_1	26.3790654809319	22.5863860205212	3.79267946041065
P13667	150	1	150_1	24.3364163041763	21.0331578689966	3.30325843517975
P14618	150	1	150_1	25.9342215419543	22.1375232278403	3.79669831411401
P14625	150	1	150_1	25.5794098649681	22.5283051684845	3.05110469648355
