GeneName	Description	Species	PE	SV
MYH9	Myosin-9	Homo sapiens	1	4
RRP12	RRP12-like protein	Homo sapiens	1	2
RPL5	60S ribosomal protein L5	Homo sapiens	1	3
WDR46	WD repeat-containing protein 46 (Fragment)	Homo sapiens	1	1
ATXN2L	Ataxin-2-like protein	Homo sapiens	1	2
HIST1H1C	Histone H1.2	Homo sapiens	1	2
YTHDF1	YTH domain-containing family protein 1	Homo sapiens	1	1
RPS4X	"40S ribosomal protein S4, X isoform"	Homo sapiens	1	2
RPS14	40S ribosomal protein S14	Homo sapiens	1	3
DDX50	ATP-dependent RNA helicase DDX50	Homo sapiens	1	1
U2AF2	Splicing factor U2AF 65 kDa subunit	Homo sapiens	1	4
RRP36	Ribosomal RNA processing protein 36 homolog	Homo sapiens	1	1
RBM39	RNA-binding protein 39	Homo sapiens	1	2
RPL24	60S ribosomal protein L24	Homo sapiens	1	1
AKAP1	"A-kinase anchor protein 1, mitochondrial"	Homo sapiens	1	1
PES1	Pescadillo homolog	Homo sapiens	1	1
EIF3G	Eukaryotic translation initiation factor 3 subunit G	Homo sapiens	1	2
SNRPF	Small nuclear ribonucleoprotein F	Homo sapiens	1	1
NCL	Nucleolin	Homo sapiens	1	3
RRP1B	Ribosomal RNA processing protein 1 homolog B	Homo sapiens	1	3
TBL3	Transducin beta-like protein 3	Homo sapiens	1	2
RPS26	40S ribosomal protein S26	Homo sapiens	1	3
NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	Homo sapiens	1	2
EEF2	Elongation factor 2	Homo sapiens	1	4
UTP4	U3 small nucleolar RNA-associated protein 4 homolog	Homo sapiens	1	1
NOC2L	Nucleolar complex protein 2 homolog	Homo sapiens	1	4
RPS2	40S ribosomal protein S2	Homo sapiens	1	2
RRBP1	Ribosome-binding protein 1	Homo sapiens	1	1
PA2G4	Proliferation-associated protein 2G4	Homo sapiens	1	3
RPS3A	40S ribosomal protein S3a	Homo sapiens	1	2
RPL26	60S ribosomal protein L26	Homo sapiens	1	1
ACTBL2	Beta-actin-like protein 2	Homo sapiens	1	2
HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	Homo sapiens	1	1
SF3B4	Splicing factor 3B subunit 4	Homo sapiens	1	1
PRDX1	Peroxiredoxin-1	Homo sapiens	1	1
RBM28	RNA-binding protein 28 (Fragment)	Homo sapiens	1	1
RPS9	40S ribosomal protein S9	Homo sapiens	1	3
HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	Homo sapiens	1	3
EBNA1BP2	"EBNA1 binding protein 2, isoform CRA_d"	Homo sapiens	1	1
NOP14	Nucleolar protein 14	Homo sapiens	1	3
ADAR	Double-stranded RNA-specific adenosine deaminase	Homo sapiens	1	4
GIGYF2	PERQ amino acid-rich with GYF domain-containing protein 2	Homo sapiens	1	1
RPL17-C18orf32	Protein RPL17-C18orf32	Homo sapiens	3	1
ATXN2	Ataxin-2	Homo sapiens	1	2
NPM1	Nucleophosmin	Homo sapiens	1	2
REXO4	RNA exonuclease 4	Homo sapiens	1	2
MRPL13	"39S ribosomal protein L13, mitochondrial"	Homo sapiens	1	1
GNL3L	Guanine nucleotide-binding protein-like 3-like protein	Homo sapiens	1	1
PRPF8	Pre-mRNA-processing-splicing factor 8	Homo sapiens	1	2
DDX31	Probable ATP-dependent RNA helicase DDX31	Homo sapiens	1	2
NOP56	Nucleolar protein 56	Homo sapiens	1	4
FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	Homo sapiens	1	2
PUM1	Pumilio homolog 1	Homo sapiens	1	3
PUM3	Pumilio homolog 3	Homo sapiens	1	3
SRSF3	Serine/arginine-rich splicing factor 3	Homo sapiens	1	1
POLDIP3	Polymerase delta-interacting protein 3	Homo sapiens	1	1
RPL15	60S ribosomal protein L15	Homo sapiens	1	2
EIF4A3	Eukaryotic initiation factor 4A-III	Homo sapiens	1	4
SLIRP	"SRA stem-loop-interacting RNA-binding protein, mitochondrial"	Homo sapiens	1	1
SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	Homo sapiens	1	1
DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	Homo sapiens	1	2
MYBBP1A	Myb-binding protein 1A	Homo sapiens	1	2
EIF4A2	Eukaryotic initiation factor 4A-II	Homo sapiens	1	2
RPL7	60S ribosomal protein L7	Homo sapiens	1	1
HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2	Homo sapiens	1	1
DDX5	Probable ATP-dependent RNA helicase DDX5	Homo sapiens	1	1
RBM19	Probable RNA-binding protein 19	Homo sapiens	1	3
BMS1	Ribosome biogenesis protein BMS1 homolog	Homo sapiens	1	1
