Names	DMSO	TUNIC	TUNICISRIB	ISRIB	Class
TBL3_HUMAN	0.000714286	0	0	0.001602268	Down-Down-Up
NAT10_HUMAN	0.000714286	0	0	0.000821018	Down-Down-Up
PALLD_HUMAN	0.000632417	0	0	0.001582384	Down-Down-Up
IPO5_HUMAN	0.000632417	0	0	0.001231527	Down-Down-Up
IQGA1_HUMAN	0.00047619	0	0	0.001992893	Down-Down-Up
DNJA1_HUMAN	0.00047619	0	0	0.001953125	Down-Down-Up
P42285|SK2L2_HUMAN	0.00047619	0	0	0.00078125	Down-Down-Up
SYRC_HUMAN	0.000238095	0	0	0.001171875	Down-Down-Up
NPA1P_HUMAN	0.000238095	0	0	0.00078125	Down-Down-Up
KIF11_HUMAN	0.000238095	0	0	0.000390625	Down-Down-Up
CYFP1_HUMAN	0.000238095	0	0	0.000801134	Down-Down-Up
SPAG5_HUMAN	0.000238095	0	0	0.000390625	Down-Down-Up
SF3A3_HUMAN	0.000238095	0	0	0.000410509	Down-Down-Up
CAND1_HUMAN	0	0	0	0.002794027	Down-Down-Up
RS11_HUMAN	0.005223073	0.004560264	0.005541264	0.005197429	Down-Up-Down
ITIH2_HUMAN	0.002135346	0.00165184	0.002878957	0.001171875	Down-Up-Down
SDC4_HUMAN	0.002060988	0.000430663	0.003595029	0.001973009	Down-Up-Down
TRY1_HUMAN	0.001428571	0	0.002702703	0	Down-Up-Down
RL18_HUMAN	0.000952381	0.000790514	0.001351351	0	Down-Up-Down
HMX3_HUMAN	0.000870512	0.00082592	0.000932722	0.000801134	Down-Up-Down
RM01_HUMAN	0.000714286	0.000430663	0.000932722	0.000390625	Down-Up-Down
SMD3_HUMAN	0.000632417	0.000430663	0.000932722	0.000410509	Down-Up-Down
DDX1_HUMAN	0.00047619	0	0.000594884	0	Down-Up-Down
PROF1_HUMAN	0.000238095	0	0.000297442	0	Down-Up-Down
COX2_HUMAN	0.000238095	0	0.000337838	0	Down-Up-Down
SRSF5_HUMAN	0.003095238	0	0.004149517	0.003184652	Down-Up-Up
PDIA1_HUMAN	0.002693405	0.002548573	0.003595029	0.005197429	Down-Up-Up
TRY3_HUMAN	0.000870512	0.000790514	0.001527606	0.001231527	Down-Up-Up
HMGB1_HUMAN	0.000788644	0.000430663	0.00127056	0.002403402	Down-Up-Up
1433T_HUMAN	0.00047619	0	0.001784652	0.001992893	Down-Up-Up
SEC62_HUMAN	0	0	0.001351351	0.001602268	Down-Up-Up
HTSF1_HUMAN	0	0	0.00127056	0.001642036	Down-Up-Up
SRSF4_HUMAN	0	0	0.0079208	0.00703125	Down-Up-Up
