master_protein	cells	treatment	rep
Q1KMD3	MCF10A	CL	1
Q15058	MCF10A	CL	1
P52907	MCF10A	CL	1
Q6P2Q9	MCF10A	CL	1
Q9Y696	MCF10A	CL	1
P31946	MCF10A	CL	1
Q96I99	MCF10A	CL	1
P61026	MCF10A	CL	1
P08238	MCF10A	CL	1
O00203	MCF10A	CL	1
P36578	MCF10A	CL	1
Q32MZ4	MCF10A	CL	1
Q15056	MCF10A	CL	1
P26639	MCF10A	CL	1
O14908	MCF10A	CL	1
O14646	MCF10A	CL	1
Q9NRX5	MCF10A	CL	1
Q14697	MCF10A	CL	1
P27824	MCF10A	CL	1
Q01650	MCF10A	CL	1
P62241	MCF10A	CL	1
Q92621	MCF10A	CL	1
Q9H0U4	MCF10A	CL	1
Q7Z5J4	MCF10A	CL	1
P13639	MCF10A	CL	1
O60832	MCF10A	CL	1
Q13242	MCF10A	CL	1
Q96DH6	MCF10A	CL	1
Q96B97	MCF10A	CL	1
P34897	MCF10A	CL	1
A7KAX9	MCF10A	CL	1
P31949	MCF10A	CL	1
P50990	MCF10A	CL	1
Q99832	MCF10A	CL	1
P78332	MCF10A	CL	1
Q96QC0	MCF10A	CL	1
Q9NYV4	MCF10A	CL	1
P49748	MCF10A	CL	1
Q92973	MCF10A	CL	1
P13489	MCF10A	CL	1
P30838	MCF10A	CL	1
Q92538	MCF10A	CL	1
Q14152	MCF10A	CL	1
Q9UK61	MCF10A	CL	1
O60716	MCF10A	CL	1
Q9NRX1	MCF10A	CL	1
Q9Y265	MCF10A	CL	1
Q9Y6M7	MCF10A	CL	1
O75821	MCF10A	CL	1
Q12874	MCF10A	CL	1
O43823	MCF10A	CL	1
P68104	MCF10A	CL	1
P60468	MCF10A	CL	1
Q9HCY8	MCF10A	CL	1
Q9NUM4	MCF10A	CL	1
P28331	MCF10A	CL	1
Q9BRP8	MCF10A	CL	1
Q15427	MCF10A	CL	1
P18206	MCF10A	CL	1
P51114	MCF10A	CL	1
P62805	MCF10A	CL	1
P46531	MCF10A	CL	1
P46087	MCF10A	CL	1
Q12789	MCF10A	CL	1
P78324	MCF10A	CL	1
P42696	MCF10A	CL	1
O60271	MCF10A	CL	1
O43896	MCF10A	CL	1
Q9NYJ8	MCF10A	CL	1
Q96EP5	MCF10A	CL	1
P54136	MCF10A	CL	1
Q13200	MCF10A	CL	1
P61254	MCF10A	CL	1
P62263	MCF10A	CL	1
Q03164	MCF10A	CL	1
Q5ZPR3	MCF10A	CL	1
Q9Y4W2	MCF10A	CL	1
Q96QD9	MCF10A	CL	1
Q96A65	MCF10A	CL	1
P46940	MCF10A	CL	1
Q8NBS9	MCF10A	CL	1
Q14203	MCF10A	CL	1
Q8NBJ4	MCF10A	CL	1
O00267	MCF10A	CL	1
Q9NYL2	MCF10A	CL	1
Q92616	MCF10A	CL	1
P46777	MCF10A	CL	1
P01024	MCF10A	CL	1
Q08945	MCF10A	CL	1
Q13895	MCF10A	CL	1
Q8TDM6	MCF10A	CL	1
Q13823	MCF10A	CL	1
P29966	MCF10A	CL	1
O14497	MCF10A	CL	1
Q9UHR4	MCF10A	CL	1
P18827	MCF10A	CL	1
Q13283	MCF10A	CL	1
Q5TDH0	MCF10A	CL	1
Q9P258	MCF10A	CL	1
P50402	MCF10A	CL	1
