Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
PIEZ1_HUMAN				2	3	2					2	
DDX52_HUMAN										3	2	3
GFPT1_HUMAN									4			
MACF1_HUMAN	2	3		5	5	2	3	5	4	6	8	9
TMEM2_HUMAN									2			
KI20A_HUMAN									2			
ELL2_HUMAN									2		2	
F222B_HUMAN						2						
MYOF_HUMAN						2	2				2	
DECR_HUMAN		2					2				2	
ABCA9_HUMAN									2		2	
FER_HUMAN		2		3		2		2	2		2	
MRCKA_HUMAN				3					3			
SRGP1_HUMAN				2		2	3	2				
NOC4L_HUMAN				3				3	2		2	
UBP38_HUMAN										2	2	
TOP3B_HUMAN										2		2
ARMC5_HUMAN					2							
FA47C_HUMAN								1				
S31E1_HUMAN					2			1		2		
SMG1_HUMAN	2			5			4	5	4	2	3	5
MORC4_HUMAN							2		2			2
CFA65_HUMAN	2											2
TBC8B_HUMAN					3							
TRAK1_HUMAN	2				2						2	
RN111_HUMAN	2											
AGRA3_HUMAN							2					
FIL1L_HUMAN							2					
KI21A_HUMAN							2			2		2
BAZ2A_HUMAN				2						2		2
ZN366_HUMAN						2						
NLRP6_HUMAN					2	2	4			2		
RAD18_HUMAN							2					
TCPD_HUMAN							2					
OGA_HUMAN							2					
TEN1_HUMAN								2				
CO4A5_HUMAN						3	2	2		2		
MRP1_HUMAN										2		
XPO6_HUMAN						2						
E2F1_HUMAN						2	2					
SVIL_HUMAN				2		2		6		2		
G3PT_HUMAN							2					
ZFY16_HUMAN							3					
LRCC1_HUMAN							2		3	2		
RIMB1_HUMAN			2							2		
CLMN_HUMAN				2							2	
ANC2_HUMAN					2				2			3
ABTB2_HUMAN									2			
MTMR6_HUMAN									2			3
URB2_HUMAN						2					2	3
ERMAP_HUMAN											2	
PCDB9_HUMAN											2	2
PCDBA_HUMAN											2	2
RTL1_HUMAN									2			
VKIND_HUMAN					2		2		2		2	
POTEB_HUMAN											2	
POTEC_HUMAN					2							
POTB3_HUMAN					2		2				2	
CENPC_HUMAN								2			2	
DHX32_HUMAN										2	3	
KTNA1_HUMAN							2			2	2	
UBP34_HUMAN				2						2		
ATG9A_HUMAN										2		
PCDGE_HUMAN										2		
PERQ2_HUMAN					3				3	2		
OTOGL_HUMAN										2		2
CCD65_HUMAN							2					
WDR97_HUMAN							3		3	2	3	
PPM1J_HUMAN							2					
RFX2_HUMAN	2						2			2		
RFX3_HUMAN	2						2					
KLF4_HUMAN							3					
RPN1_HUMAN		2					2					
RFX1_HUMAN	2	3										2
GBRA1_HUMAN					2	2						
MYH14_HUMAN		3			3						4	
MTSS1_HUMAN		2										
GGA3_HUMAN		2										
UBP54_HUMAN		2										
P1L12_HUMAN				2								
FAT4_HUMAN	3	2		2						2	3	
OAS3_HUMAN		2										
AN36C_HUMAN		2										
TBB1_HUMAN							2					
BIRC1_HUMAN							2					
RUAS1_HUMAN							2					
ATS3_HUMAN							2					
KLDC9_HUMAN								2				
AFF4_HUMAN		2			2		2	2			2	
NOL8_HUMAN						2						
XRN1_HUMAN						2			2			
ITA9_HUMAN						2						
DNMT1_HUMAN	2					2	4	2	2		2	3
EST2_HUMAN		2										
DSG3_HUMAN					2							
SEM3A_HUMAN					2							
GRD2I_HUMAN					2							
S4A11_HUMAN						2						
BTAF1_HUMAN		2			2	2	4			3	3	
TRIM9_HUMAN											2	
MRRP1_HUMAN								2		2	2	
SYGP1_HUMAN				3	3						2	
OBSL1_HUMAN										2	3	
ANM9_HUMAN				2		3		2			5	3
TASOR_HUMAN								2	2	2	4	2
SCAF8_HUMAN					2							
PCDGC_HUMAN							2					
XPO4_HUMAN							3					
LAT1_HUMAN							2					
DUS8_HUMAN							2	2				
DOCK7_HUMAN		2			2	3	2				1	
RELN_HUMAN				2		2						
PDIP3_HUMAN									2			
CO3A1_HUMAN				2		2		2	2			3
AT11B_HUMAN					2							
ZSWM6_HUMAN							2					
ODFP2_HUMAN				3	2	2	2		2	2	1	2
CC146_HUMAN					2		3	3		2	4	3
POTEJ_HUMAN							2					
POTEI_HUMAN					2		2				2	
STRN4_HUMAN					3			2				4
SEMG2_HUMAN				2								
DNPEP_HUMAN				2				2				
VP13D_HUMAN	2	3		2	5		3	6	7	2	5	4
NVL_HUMAN							2		3	4	3	3
RTN3_HUMAN												4
NEK11_HUMAN						3						
RBCC1_HUMAN			2	5		3	3		3	3	3	4
SG494_HUMAN										3		
DNJA3_HUMAN						2						
UN13A_HUMAN		2				3		2				
CC187_HUMAN		2										
MUC6_HUMAN		2				3						
CTSR2_HUMAN		2										
PITX2_HUMAN						2						
MYO15_HUMAN	2	2		5	3	2	6	2		3		2
DHB4_HUMAN										2		
AKNA_HUMAN				3	2	2	3		5	2	2	
ERCC6_HUMAN		2	2						5			3
DYM_HUMAN					2							2
EXOSX_HUMAN									2			1
ERC2_HUMAN					2		4	3		2	2	3
KMT2B_HUMAN	2				4		4	2		2	3	2
MINP1_HUMAN		2				3						
AGRG4_HUMAN	2	3		4	3		4	2				5
TRI37_HUMAN			2			2						
APOBR_HUMAN		2	2		2							
CORO6_HUMAN		2										
EP2A2_HUMAN		2			2							
BEND7_HUMAN			1									
ARHGH_HUMAN								2				
RHG40_HUMAN								2				
FAS_HUMAN	2	2	1	5				2	3		2	3
CP100_HUMAN		2										
STA5A_HUMAN							2					
NHRF1_HUMAN							2					
CO2_HUMAN		2					2					
I2BPL_HUMAN			1						2			
SPAT6_HUMAN	2	2	1									
NMD3B_HUMAN	2					3	2					
PUR2_HUMAN	2						3					3
CD2AP_HUMAN	2											
RIOK2_HUMAN										1		
UBR1_HUMAN						3			4	2		3
SMCA5_HUMAN										2		2
ST18_HUMAN				1								
CAR11_HUMAN				1			2					2
RBMS3_HUMAN										1	1	1
RBMS1_HUMAN										1	1	1
RFC1_HUMAN										2		
ITA11_HUMAN											2	3
HECW2_HUMAN	2					2	2	2	4	2	3	3
SPTC2_HUMAN												3
CAD26_HUMAN												3
NU205_HUMAN										2		3
SZT2_HUMAN				2	2	3						3
UN13B_HUMAN				2		3						
PE2R4_HUMAN				2								
RL10A_HUMAN				2	2			1		1		1
BTBD9_HUMAN										2		
SHPRH_HUMAN										3		2
MYO5C_HUMAN							2					
NYNRI_HUMAN		3				2	2					
ERF3B_HUMAN					3							
CLAP1_HUMAN		2			3			4	3		3	
TRPM1_HUMAN					3							
PSME4_HUMAN				3	2	3				2	3	
ZN318_HUMAN			3	2	4	3	4		3	3		
ATP7A_HUMAN												4
PKN3_HUMAN										3		3
F10A1_HUMAN						2						
ZEP3_HUMAN				2		2		2	2		2	
CLH2_HUMAN		2			2	2				3	3	2
BCDO1_HUMAN											2	
RHG24_HUMAN											2	
NETO1_HUMAN											2	2
CYH1_HUMAN					3	2	2		2		2	
DPOD3_HUMAN								2				
MEX3C_HUMAN						2		2				
PCDAD_HUMAN				2		2						
CC162_HUMAN				2							2	
ZN806_HUMAN							2					
FANCI_HUMAN							2				2	
RBM47_HUMAN										2	1	
CBPC2_HUMAN							2			2		
GSCR1_HUMAN				2		3		3				4
LRP2_HUMAN				2			2			2		3
AKAP6_HUMAN						2			2	2		
TOR1B_HUMAN										2		
EH1L1_HUMAN				2								
NMDE4_HUMAN	2			2						2	2	
ANR52_HUMAN			2									
PCNT_HUMAN	2	3	2	8	5	4	4	3	5	6	10	8
TEN3_HUMAN	2			2			2		2			3
MY18A_HUMAN	2			3	3	2						2
NPL4_HUMAN							2					
F117B_HUMAN									2			
MACOI_HUMAN	2						3	2	2			
CSPG4_HUMAN	2											4
RABE2_HUMAN	2											
CCNB3_HUMAN		2									2	
TRNT1_HUMAN											2	
PAR14_HUMAN	2	3							3		2	4
SHAN1_HUMAN	2			2					2			
FRYL_HUMAN	2			4	3	4	5	3	4			7
LRP1B_HUMAN						2	2					
YETS2_HUMAN						2						
SCN2A_HUMAN						2						
RB8NL_HUMAN	2					2						3
SUCB2_HUMAN	2											
P121C_HUMAN						1						
P121A_HUMAN				2		1						
VIP1_HUMAN							3					
SNPC4_HUMAN				2	3		3		3			
RINL_HUMAN				2								
UBP8_HUMAN						2						
S38A7_HUMAN						2						
CCD18_HUMAN	2	3		2		2		2				
DIP2B_HUMAN				2								
EP400_HUMAN	2			2			3		2			
NOS2_HUMAN	2											
THSD1_HUMAN		2										
TNR6A_HUMAN	2	2		2				2				
KDM4D_HUMAN	2											
MA1A1_HUMAN			2				2	2				2
RHG22_HUMAN				3	3							
CE042_HUMAN				2			2				3	2
EMIL1_HUMAN				2	2	2	2					
DLGP2_HUMAN					3							
SPRL1_HUMAN				2	2							
DDX20_HUMAN					2							
KIF14_HUMAN				4	2	3				2	3	
4ET_HUMAN								3		2		
AKIB1_HUMAN		2										
GRAP1_HUMAN		2								2		
S39A3_HUMAN										2		2
NETO2_HUMAN										2		
MCCB_HUMAN					2					2		
KLH23_HUMAN												2
GSC1L_HUMAN								2				
CADH8_HUMAN								2		2		2
TF2AY_HUMAN										2		
TDRKH_HUMAN										2		
BD1L1_HUMAN		2			2				3	3	7	4
DYH1_HUMAN	2			3					2	2		3
HME1_HUMAN				2								
SH3R3_HUMAN	2			2			3					
SRPX_HUMAN										2		
A20A1_HUMAN										2		
A20A4_HUMAN										2		
AN20B_HUMAN										2		
A20A2_HUMAN										2		
A20A3_HUMAN										2		
AGRB2_HUMAN						3						
C2D1B_HUMAN						3	3					3
ZO1_HUMAN										2		3
CND3_HUMAN										2		
DHX15_HUMAN				1						1	3	
DPYL3_HUMAN									2			
VPS52_HUMAN				3					2			2
AP1G1_HUMAN												2
PRDBP_HUMAN						3						
MYO7B_HUMAN						3	3					2
C1TM_HUMAN								3				2
SCNAA_HUMAN												2
ZN777_HUMAN												2
LAMA1_HUMAN				3					4	2	5	2
NIBL2_HUMAN											2	
GRM5_HUMAN							2					
TRAF3_HUMAN			2			2	2					
HYOU1_HUMAN			2					2			2	
NAL14_HUMAN											2	
CALD1_HUMAN											2	
GRP75_HUMAN							1					2
KDM5B_HUMAN					4	3		2				
KI26A_HUMAN				8	3			3			2	2
EPB42_HUMAN					2					2	2	
TEX14_HUMAN				3		4					2	
TOM70_HUMAN												2
SYCP1_HUMAN							2					3
O51L1_HUMAN												2
CCD39_HUMAN								2				2
REM2_HUMAN												2
SSRG_HUMAN										1	1	1
RSPRY_HUMAN									2			
AGAP2_HUMAN				3					2	3		
SRP72_HUMAN				2					2	2		
IPO13_HUMAN										2		
AL1B1_HUMAN				2								
ACSL1_HUMAN				3					2			
HPS4_HUMAN				2								
DNLI4_HUMAN				2	2					2		
LY75_HUMAN				2						2		
CENPU_HUMAN										2		
KIF4B_HUMAN							2			2		
NCKPL_HUMAN							2	2		2	2	
DDX55_HUMAN										2		
CE152_HUMAN	2	3				3	2			2		4
PLPR4_HUMAN						2						
TTC16_HUMAN						2						
ARHG7_HUMAN						2						
AMRA1_HUMAN					2	2						
SR140_HUMAN	2				2							
ZW10_HUMAN				2						2		
HEAT1_HUMAN				2			2			1	3	6
TUTLA_HUMAN										2		
AT132_HUMAN										2		
RM27_HUMAN					1	1		2	2			
NEK1_HUMAN							2					
CUL4A_HUMAN								2				
CUL4B_HUMAN								2				
SC24C_HUMAN								2				
RBG1L_HUMAN					2		2	2		2		5
VCAM1_HUMAN								2				
CNDG2_HUMAN								2				
GRDN_HUMAN								2				
GMIP_HUMAN								2		2		
PDE3A_HUMAN								1				
NUFP2_HUMAN							2	1		1	4	4
T132A_HUMAN										2		
MA2A2_HUMAN										2		
ATP7B_HUMAN												3
NU133_HUMAN			2						2			
PLXA3_HUMAN			2								2	2
PK3CB_HUMAN										2	2	
RL32_HUMAN				2	2	3	4	4		1	6	5
HNRL1_HUMAN					3							1
DAXX_HUMAN												1
DSEL_HUMAN												1
DHX36_HUMAN								2		2		1
BROMI_HUMAN					2					2		
SCAFB_HUMAN										2		
TLN2_HUMAN		3	2	3		2	4			2		
KLH21_HUMAN							3			2		
PTPRD_HUMAN							2	2				2
PTPRF_HUMAN												2
RGF1C_HUMAN												2
RBM25_HUMAN						2						
HIP1R_HUMAN							2	3				
AT11C_HUMAN							2					
INSRR_HUMAN						2	2			2		2
FBN3_HUMAN												2
GOG8M_HUMAN												2
GOG8H_HUMAN												2
GOG8I_HUMAN												2
GOG8J_HUMAN												2
GOG8R_HUMAN										1		2
MFS2B_HUMAN										2		
S12A4_HUMAN					2					1		
FOXK2_HUMAN										2		
ACK1_HUMAN										1		
MED14_HUMAN						2				2	3	
SYT16_HUMAN											2	
PECA1_HUMAN											2	
MLH3_HUMAN				2	2							
MET_HUMAN							2					
ABL1_HUMAN				2			2		4	2	2	
CC137_HUMAN				2	4	4		1		1	5	4
TOM1_HUMAN										2		
GRIP1_HUMAN									2	2		
CR063_HUMAN				2		2	2				2	2
CFA57_HUMAN				4	2		2		2	1	2	4
NOC2L_HUMAN										1		
SRRM2_HUMAN									2	2		
SYDE1_HUMAN										2		
HOT_HUMAN				2								
RFIP1_HUMAN				2						2		
IFT80_HUMAN				2	3							
PTCD1_HUMAN				2							3	
HPLN4_HUMAN									2			
EDRF1_HUMAN								3	2		2	
K0556_HUMAN							2				2	
NLRC4_HUMAN												1
PP4R4_HUMAN										1	2	1
CP2S1_HUMAN										2		
AMER1_HUMAN										2		
BTBDI_HUMAN											3	
PCD16_HUMAN	2	5			2					2	3	
MRVI1_HUMAN											2	
AKND1_HUMAN					3							
SDK1_HUMAN					3				2		2	
FCGBP_HUMAN						2						
WWP2_HUMAN						2						
OLA1_HUMAN						2					1	
TMM33_HUMAN											1	
BACH2_HUMAN					2							
ECT2_HUMAN					2							
CCSE1_HUMAN					2							
MKNK1_HUMAN					2							
FBX41_HUMAN				4	2		3		3			
MAST2_HUMAN	2			3							2	
ZSA5B_HUMAN										2		
TDRD5_HUMAN								2				
PKHA6_HUMAN								2		2		
WDR11_HUMAN										2		
C2D1A_HUMAN				2								
TBD2A_HUMAN				2								
AMER2_HUMAN					3	2						
RABL6_HUMAN							2					
CCD93_HUMAN							2					
KI26B_HUMAN	2			2	3		2	3		2		
ITIH4_HUMAN	2		2	3								
TAF2_HUMAN	2		2			3	3	3				
CP135_HUMAN	2											4
ADAS_HUMAN					2							
LAMA4_HUMAN	2				2		3					
BCAS1_HUMAN		2		3								
CJ071_HUMAN				2								
FANCM_HUMAN	2	3	2	2			2	2				
SFR19_HUMAN	2											
TRXR2_HUMAN												2
TENS1_HUMAN							2					3
CLPB_HUMAN									3			
SPTB1_HUMAN	2	2	2	4	3		4	2	3			2
KPYR_HUMAN	2											
KC1G2_HUMAN				2								
RFX6_HUMAN	2			2			2					
FYCO1_HUMAN				3					3	4	3	4
LARP4_HUMAN										2	3	
EMIL3_HUMAN							2					3
MYO1E_HUMAN									2		5	2
H2AV_HUMAN												3
H2AZ_HUMAN												3
CF222_HUMAN				4	4	4	4	4	4	4	4	4
UCKL1_HUMAN							2	3				
DYHC2_HUMAN				5	3	5	3	5	5	5	3	6
DOCK9_HUMAN				2	2				2	5		4
JKIP3_HUMAN										5		
S1PR4_HUMAN				2	3	3						
EFCB6_HUMAN				2								
CSTF3_HUMAN				2								
LRRF1_HUMAN				2								
BSN_HUMAN	2			2	5	4		3	5	6	4	
DYH11_HUMAN	2			6	6	4		3	4	6	9	3
ESPL1_HUMAN			2	3	3	6	4	2	3	4		3
GSK3B_HUMAN					3	3	3	3	3	3	4	3
GSK3A_HUMAN					3	3	3	3	3	3	4	3
RBGP1_HUMAN		2						2				
RHG07_HUMAN		2			2					4		
NCKX3_HUMAN				2	2							
CO4A6_HUMAN							3					
ADDG_HUMAN							2					
GAS6_HUMAN							2					
NLRX1_HUMAN				2			2					
CMIP_HUMAN							2	2				
ALDH2_HUMAN				2			3					2
HEAT3_HUMAN					2							
DEND_HUMAN					2						2	2
EST1A_HUMAN											2	
SCRIB_HUMAN											2	
SIAT2_HUMAN							2					
BHE23_HUMAN							2					
KDM5A_HUMAN		3	2	4	4	5	3	4	2	4	2	
VINC_HUMAN				2			2					3
MDR1_HUMAN			5			2						
CSTFT_HUMAN				3		3	3					
FRMD3_HUMAN							2					
DLG5_HUMAN			4	5	4	4	2	3	2	3	4	4
GAS8_HUMAN				2								
SALL4_HUMAN				2		2						
GDF7_HUMAN							2					
DJC30_HUMAN							2					
OTP_HUMAN							2					
ADDB_HUMAN									2			
TACC2_HUMAN		2	4	2	4		2		2		9	
RAB2A_HUMAN			2									
KDM4B_HUMAN			2									
MRP6_HUMAN			2									
UD17_HUMAN			2									
ASPM_HUMAN			2		3	3	5	5	3	3	6	5
SRSF1_HUMAN				2	3	2		1	2	2	2	1
GGN_HUMAN					3							
CLIP1_HUMAN			2	2	2	3		2		3	5	2
M3K15_HUMAN					3						3	
IREB2_HUMAN				2								
BCR_HUMAN						2			3			
TT21A_HUMAN				2	2	2	2	3	3	3	2	
LRRK1_HUMAN					3		2			5	5	
MMRN2_HUMAN					2							
ABCA3_HUMAN						2						
PKHD1_HUMAN					2	2		3		4	4	3
TBB4B_HUMAN							2					
RIF1_HUMAN		2		5		4	3			4		3
TRRAP_HUMAN				2	2		3	2	2		3	6
VGFR2_HUMAN							2					
CUBN_HUMAN							2	2	2		4	2
SC23B_HUMAN												3
CK095_HUMAN												3
NCOR2_HUMAN				5		3	4	2	4		4	4
VWDE_HUMAN											3	
SPTN5_HUMAN	2					4	3		3	4	4	3
FRMD6_HUMAN		3				3	2			2		
CO8A1_HUMAN									2			
CELR1_HUMAN				3	3	2	2		2			
CAR14_HUMAN				3	3	2	2	2			4	3
PHAX_HUMAN										2	3	
PK3CG_HUMAN					2							
CO6A6_HUMAN					2	3	3		2	2		
SUSD1_HUMAN											2	
REPI1_HUMAN						2						
PCF11_HUMAN						2						
PCX3_HUMAN	2					2	3			2	2	4
PCD18_HUMAN	2											
K1328_HUMAN	2											
VAX2_HUMAN	2						2					
PK1L1_HUMAN	2	3			3							
CE295_HUMAN	2		2		2							
FA13B_HUMAN	2											
DIAC_HUMAN											3	
SRSF2_HUMAN					2		2	3	2	3	2	2
HTR5A_HUMAN							6			4	3	
ATRX_HUMAN		2										3
YMEL1_HUMAN								3				3
S11IP_HUMAN					2							
APC2_HUMAN	2	3		4	3	5	6		2	5	5	3
KDIS_HUMAN	2	2						2				
TSHR_HUMAN												2
M3K10_HUMAN					2		3					
PR40B_HUMAN					2				2			
THAP9_HUMAN				2	2							
HELB_HUMAN				3								
AT1A1_HUMAN				2			2		2		2	2
HOME3_HUMAN											2	
MX2_HUMAN				2								
CELR2_HUMAN				2		1					3	
ENASE_HUMAN					3							
CE164_HUMAN	2	3			3	2	4				3	4
HELZ2_HUMAN	2	3					2				2	
MUC2_HUMAN	2											
OSBL5_HUMAN												2
F181B_HUMAN												2
ANKS3_HUMAN					2			2				2
COBA2_HUMAN												2
MPRIP_HUMAN												2
ELFN1_HUMAN	2											2
TBX1_HUMAN												2
OSBL6_HUMAN												2
TUB_HUMAN							2					
ZN469_HUMAN	2	3			4		2				3	3
SC5AC_HUMAN											2	
DEPD5_HUMAN											2	
AMD_HUMAN											2	
GOG8C_HUMAN											2	2
NOMO3_HUMAN											2	
NOMO1_HUMAN											2	
NOMO2_HUMAN											2	
FSCN2_HUMAN						2						
FBXW9_HUMAN						2		2				
LRP5L_HUMAN									2			
K1522_HUMAN	2				2	2	2		2		2	
FARP2_HUMAN						2		2		2		
SPT20_HUMAN					2					2		
CC067_HUMAN				3								
DIAP1_HUMAN				3				2	2		1	
SEPT5_HUMAN		2										
LDHA_HUMAN							1					
NCOA6_HUMAN							2					
RNF10_HUMAN					2		2					
RET3_HUMAN					2							
K1456_HUMAN					2							
RASL3_HUMAN		3			2		2			2	1	
PKHG2_HUMAN										2		
RT23_HUMAN												2
ANR24_HUMAN			2									2
OPCM_HUMAN												2
CEP78_HUMAN					2	2						2
PD1L2_HUMAN												2
PELP1_HUMAN				2								
LRC56_HUMAN				2								
S12A6_HUMAN									2			
CH089_HUMAN									2			
LRRK2_HUMAN				2		2		2	2	2	2	2
PKD1_HUMAN				3		2	3			2		
RM13_HUMAN				4		1		2	1	2		2
CARF_HUMAN				2								
T200C_HUMAN						2						
ASPP1_HUMAN						2						
NLRP3_HUMAN						2	3					
COKA1_HUMAN				3		2	3					
TANC1_HUMAN				3		2	2			2		
HOOK3_HUMAN	2									2		3
MK08_HUMAN											2	
UBXN7_HUMAN												3
PANK1_HUMAN									2			
ANO8_HUMAN				2		3	2	2	2	3	2	2
N4BP2_HUMAN										3		
SOS2_HUMAN					3	3		4	4			
DDX23_HUMAN				2	4		2		2	3	4	4
HS902_HUMAN				2				2				
HFM1_HUMAN				3	4	3				3		
NMDE1_HUMAN						2						
SKT_HUMAN						2		2	2		3	2
ASSY_HUMAN				2								
RGS9_HUMAN				2								
TRI33_HUMAN				2								
S6A18_HUMAN				2								
MUC19_HUMAN			2	2		2	3				3	3
TPP2_HUMAN											3	
GLE1_HUMAN							2					2
PKHH1_HUMAN						2	2					2
GP179_HUMAN					2	4						2
GCP6_HUMAN									3			
KIF5A_HUMAN									3	3	3	3
DMXL1_HUMAN	2									3		
RPN2_HUMAN											2	
PHLB1_HUMAN				2								
CABIN_HUMAN				2	2	3					2	
CDK5_HUMAN				2								
SLF1_HUMAN				2							2	
I5P2_HUMAN		2									2	
LRC34_HUMAN				3								
S12A9_HUMAN					3			2				
CO7A1_HUMAN	2		4	3	4	2	5		4		3	6
GNA12_HUMAN	2											
PUS10_HUMAN	2											
GRHL1_HUMAN											2	
FGFR3_HUMAN											2	
ADCY9_HUMAN												2
CAD18_HUMAN												2
CAD20_HUMAN												2
PCDG8_HUMAN												2
PAPP1_HUMAN												2
SC16A_HUMAN					3							2
TTLL4_HUMAN	2										2	2
HNRPK_HUMAN				13	10	10	12	7	9	12	15	13
DDX27_HUMAN				17	16	17	12	13	12	22	23	21
RRP12_HUMAN				9	13	11	10	6	9	16	13	19
NOP2_HUMAN				12	11	6	6	6	5	15	14	13
ROA1_HUMAN				12	14	10	9	13	10	15	12	14
ROA2_HUMAN				12	11	10	13	15	14	11	12	13
RL3_HUMAN				7	8	9	9	5	8	14	13	10
ILF3_HUMAN			2	9	5	5	5	5	10	17	14	15
SPB1_HUMAN				7	8	6	11	9	7	17	13	13
PWP2_HUMAN	2	2		11	10	9	8	7	9	14	14	13
MIA3_HUMAN						2						
GPTC4_HUMAN	2					2					2	
ACADS_HUMAN	2											
KV228_HUMAN	1											
KVD28_HUMAN	1											
KVD40_HUMAN	1											
KV230_HUMAN	1											
KVD30_HUMAN	1											
CFA45_HUMAN				4	2	3						
BMP2K_HUMAN				4					2			4
ABCF2_HUMAN								2		3	4	4
DCAF8_HUMAN										3		
PABP5_HUMAN				2		2				2		2
MD13L_HUMAN				4	3	3		3	4	3	4	3
GCC2_HUMAN	2			5	3	4	3	3	3	4	4	5
MALR1_HUMAN	2											
S15A4_HUMAN						2						
DYH12_HUMAN	2			4		2			3		2	4
COPB2_HUMAN	2		3				2		2			
DJC25_HUMAN								2				4
LUZP1_HUMAN	2			4					3			3
PI4KB_HUMAN	2											
GOR_HUMAN	2											
SMAG1_HUMAN						2						
AT131_HUMAN						2						
PCDGI_HUMAN						2						
MTCL1_HUMAN				3	4	2	4	3	3	5	2	4
OR1F2_HUMAN												2
PMFBP_HUMAN												2
KPYM_HUMAN							2			2	2	2
CNTP4_HUMAN			2	3			4	3	3		4	3
OBSCN_HUMAN	2	4	5	8	6	4	9	4	8	5	6	5
RHG21_HUMAN				3	5	4	2		6	2	4	
HSP74_HUMAN									3		2	
PKHG1_HUMAN				3	2		2				2	
SHIP1_HUMAN												2
NPHP4_HUMAN						2						2
ANK1_HUMAN								4			2	2
SRCA_HUMAN											2	
SCHI1_HUMAN											2	
NMDE3_HUMAN				3							2	
ODPX_HUMAN											2	
NWD1_HUMAN						2						2
ATS2_HUMAN												2
ASCC3_HUMAN				2					3		2	2
RPF1_HUMAN							1			3	1	2
KLC2_HUMAN										2		
R3HC1_HUMAN											2	
MDC1_HUMAN									2		2	
CSPP1_HUMAN						1						
Z780B_HUMAN						2						
LRIT3_HUMAN						2						
FILA_HUMAN						2						
FR1L6_HUMAN						2					2	
DHX16_HUMAN			2								2	
AN36B_HUMAN										3	2	
AN36A_HUMAN						3				3	2	3
AN30A_HUMAN				3	3	2	2	3		2	2	3
CE350_HUMAN				3		3		2		3	4	
MYO9B_HUMAN									2	3		
F208B_HUMAN				2		2				3		3
A1CF_HUMAN										2	2	4
PXDN_HUMAN									2			
BCL6B_HUMAN									2			
WWC2_HUMAN		3							2			
MPP2_HUMAN				4								
ABCAD_HUMAN		3		4	5	5	5	5	4	2	6	4
BIG3_HUMAN				2		3	3		3		2	
PA24D_HUMAN											2	
D39U1_HUMAN					2							
T22D3_HUMAN								2				
BACH1_HUMAN					2			2				
CC170_HUMAN								2				
CNOT1_HUMAN								2				
LPIN1_HUMAN								2				
VTNC_HUMAN								2				
APBB1_HUMAN					2		3	2				
H1T_HUMAN					1	2						
ALPK2_HUMAN					2	2	2					
CHD3_HUMAN					2							
CBPD_HUMAN					2							
RM28_HUMAN					1						2	
SIA7B_HUMAN											2	
EHBP1_HUMAN											3	
PCM1_HUMAN											2	
LAS1L_HUMAN											2	
CP21A_HUMAN											2	
PLCH1_HUMAN				3			2		2			
RUFY2_HUMAN				3								
HECD1_HUMAN				4	3				5	3	2	
EF1G_HUMAN										2	1	
DNLI1_HUMAN					2					3		
ZN622_HUMAN							1		1			
SETX_HUMAN							2			3		
LRRC9_HUMAN				2	2	4	2			2		
PCDG2_HUMAN		2										
KTU_HUMAN		2									2	
MYH8_HUMAN	2			4					3	3	3	4
PLXB3_HUMAN							3					
RNFT2_HUMAN							2					
BHLH9_HUMAN					4		2	2	2			3
RUSC2_HUMAN				2								
CK5P3_HUMAN					2							
THOC2_HUMAN				2	3	2			3			3
ROBO3_HUMAN					2							
SMRC2_HUMAN					2							3
RBP1_HUMAN												3
LRC59_HUMAN				1	1	1				2	1	1
MY18B_HUMAN	2									3	2	3
MYPN_HUMAN	2											
AFTIN_HUMAN	2											
IF4H_HUMAN				7	6	6	4	5	3	4	3	4
KRR1_HUMAN								1		6	6	4
PRKDC_HUMAN				3		3	2		2	9	12	8
PUM2_HUMAN					3	4		1		4	7	1
CAPR1_HUMAN				4	4	4	4	2	4	4	3	2
PTCD3_HUMAN					4	1	2		3	5	7	8
SHRM4_HUMAN						3						2
ITIH1_HUMAN												3
CLU_HUMAN								2		6	6	2
RL34_HUMAN				7	5	5	4	5	4	6	7	3
PSPC1_HUMAN				1		2	1		1	4	6	6
RL18A_HUMAN				7	8	5	6	6	8	5	8	7
KCND2_HUMAN							2					
CLSPN_HUMAN							2					
TOP2B_HUMAN	2		4			2	2		3	6	2	
LRC58_HUMAN												3
K0100_HUMAN					1							
PIP_HUMAN					1	1						
PSG11_HUMAN					1							
PSG7_HUMAN					1							
PSG3_HUMAN					1							
PSG2_HUMAN					1							
PSG1_HUMAN					1							
AMOL1_HUMAN							2					
ZN628_HUMAN							2					
FMR1_HUMAN							2					
SC5A1_HUMAN							2					
AT2B3_HUMAN					1		2	2				
MTSSL_HUMAN							2					
CHD5_HUMAN						1	2					
ADCY8_HUMAN						1			2			
THIM_HUMAN						1						
F122A_HUMAN								2				
CD33_HUMAN								2				
MECP2_HUMAN								2				
SLIRP_HUMAN					1	1		1			1	1
MYO1F_HUMAN										3	4	
RHG33_HUMAN						2				3		
FRPD4_HUMAN									3	3		
NEIL2_HUMAN												3
BCL9L_HUMAN							2	2				2
TCPZ_HUMAN							1			3		2
CEP44_HUMAN			2									
PTC1_HUMAN				2					3			
PGCA_HUMAN			2	2								
ERBIN_HUMAN			2	2							2	
GPTC8_HUMAN											2	
SYBU_HUMAN								2				
GPAA1_HUMAN								2				
