Accession	NCL.A	NCL.B	NCL.C	U.A	U.B	U.C	S.A	S.B	S.C	IT.A	IT.B	IT.C
EF1A1_HUMAN				2	1		2	1	2	1	2	
EF1A3_HUMAN				2	1		2	1	2	1	2	
EF1A2_HUMAN					1			1		1		
PKP1_HUMAN											2	
MELPH_HUMAN											2	
ITIH6_HUMAN								2			2	
SLIT1_HUMAN							2			2	2	
KHDR1_HUMAN										2		
UTP11_HUMAN										2		
SYFB_HUMAN										2	2	4
UN45A_HUMAN											2	
LAMC2_HUMAN											3	
ZN521_HUMAN									2		2	
ZKSC4_HUMAN											2	
MYH4_HUMAN				3								
PTCD2_HUMAN				2								
SON_HUMAN				3						2	2	
B3A2_HUMAN									2		1	2
CO5A3_HUMAN										2	1	
THOC4_HUMAN		2		1	2	2		1		2	2	2
RHG04_HUMAN				3								4
SRCAP_HUMAN					4	3	3		2	2		3
SRPK3_HUMAN						2						
C2C4B_HUMAN						2				2		
CO2A1_HUMAN							2		3	2		
PNML1_HUMAN										2		
PTBP2_HUMAN				7			8	4	5		5	8
M3KL4_HUMAN						2						
UBP10_HUMAN				2		2				1	4	5
TLN1_HUMAN									4		2	2
KCAB3_HUMAN												2
FNDC1_HUMAN												2
NOB1_HUMAN										1	1	1
RS15A_HUMAN										2		1
BGAT_HUMAN										2		
DCLK2_HUMAN										2		
TMPSD_HUMAN	3									2		
CC141_HUMAN	3	2	4	4	4	5	3	5				
F135A_HUMAN						2	2	2				
PERE_HUMAN					3	5	5	3	2		4	3
ARHG5_HUMAN		2	2					3				
INF2_HUMAN		2										
DPP9_HUMAN		2										
SCN8A_HUMAN		2										
DONS_HUMAN					2							
MYH11_HUMAN		2		2	2	2	3			2	5	3
ARI4B_HUMAN				2	3	2	3					
PAI2_HUMAN							2					
TRIPC_HUMAN				2	3		2			2		
SYEP_HUMAN						4	2		2	2		
NOTC1_HUMAN				2		2	2		3	2		
CAPSL_HUMAN		2	2		2		2	2			2	
CN37_HUMAN										3	3	
ANXA2_HUMAN				1			4		1	3	4	4
AXA2L_HUMAN									1	3		
HMGX3_HUMAN										2		
TEN2_HUMAN					2	2				2		
LS14B_HUMAN										1		
PANK4_HUMAN											3	
CC150_HUMAN											3	3
ARMC3_HUMAN					4	2		4	2	3	3	
K1586_HUMAN												3
DMXL2_HUMAN				2						3	4	3
T132D_HUMAN											2	
F161B_HUMAN		2										2
TGM3_HUMAN									2		2	2
GRIP2_HUMAN		2			2						2	
MIC19_HUMAN												1
SKIL_HUMAN												2
ATF6B_HUMAN									2			
FA53C_HUMAN						1			2			
IL6RB_HUMAN						1						2
F184B_HUMAN												2
LRRN4_HUMAN												2
ZN823_HUMAN												2
U3IP2_HUMAN												2
BCS1_HUMAN												2
K1683_HUMAN												2
NEUL_HUMAN				3				3	3			
CAC1E_HUMAN				3							2	2
FA83C_HUMAN				2								2
ALK_HUMAN							2	2	3		2	2
E2F8_HUMAN				3		2						
RET_HUMAN							3					
ATP4A_HUMAN				2		2	3					
PDZD8_HUMAN				2								2
DTX2_HUMAN					2							
PRS8_HUMAN					2							
MRP3_HUMAN				2	2					2	2	2
MPDZ_HUMAN			4	4	4	2		2		3		
TPC11_HUMAN								3				
ESRP2_HUMAN								2		2		
MPP3_HUMAN								2				
SETD2_HUMAN					5		2	2				
EDEM1_HUMAN					2							2
ADCY7_HUMAN				3		3						3
TTLL5_HUMAN				2		2	2	2	2	2	5	3
KIFC1_HUMAN			2									
APOB_HUMAN			2			3	4		3	2	3	2
ERAP2_HUMAN											2	
RIC8B_HUMAN											3	
CSC1_HUMAN		3										
NPHN_HUMAN	3	3	3	3	4		2	3	2	2	2	
ZHX1_HUMAN	3	4		2							3	
BGH3_HUMAN					2							
SNTB1_HUMAN					2							
EFR3B_HUMAN								2				
ANO4_HUMAN								2				
CCD22_HUMAN								2				
ES8L1_HUMAN								2	3			
HORN_HUMAN	4	1	3		2	2		2	2			1
